TransactionID,Time,Amount,CardholderName,MerchantName,MCC,Location,Device,IPAddress,TransactionSpeed,Fraud
61,2024-06-22 00:58:57,548.4,Jeffrey Cook,"Blake, Brown and Lopez",5812,North Josephside,Web,46.231.167.141,3.84,0
62,2025-02-02 18:18:15,110.54,Angela Perez,"Wood, Rojas and Jones",5411,Staciemouth,Web,90.225.108.135,15.64,0
63,2025-01-04 10:30:30,383.73,Tracy Mckinney,Duarte LLC,7299,Walkerfort,Android,70.241.2.16,37.23,0
64,2025-01-22 12:54:26,548.41,Holly Singh,Rosales-Peterson,7299,East Briannatown,iOS,50.169.98.99,34.42,0
65,2024-12-12 08:17:00,715.56,Tony Bryant,Miller-Moore,7299,Jeffreyfort,iOS,178.51.120.104,35.62,0
66,2024-10-31 23:05:54,968.95,Michael Jensen,Williamson PLC,7299,Howardland,iOS,60.79.238.137,4.83,0
67,2025-02-08 14:42:18,670.23,Amber Martinez,Escobar LLC,5942,New Abigailport,iOS,197.92.99.169,30.43,0
68,2025-03-28 11:22:13,949.45,Stacey Garrett,"Fox, Santiago and Gallagher",5261,North Michelle,Android,208.85.54.22,59.49,0
69,2024-06-15 03:15:45,969.87,Rebecca Singh,"Garcia, Bennett and Bentley",7299,Beltranborough,Web,101.111.12.169,15.67,0
70,2024-12-29 00:30:44,157.64,Carlos Olson,Ellis-Shelton,7299,South Jordan,Web,206.252.1.187,19.5,0
71,2024-08-29 10:31:57,92.78,Thomas Robinson,"Stevenson, Kim and Cole",5261,East Ashleyburgh,Web,75.248.176.76,43.99,0
72,2025-02-24 11:12:56,589.98,Samuel Nguyen,"Cobb, Mckinney and Lewis",5261,Lake Lindaville,POS,161.118.45.78,36.25,0
73,2024-09-02 06:54:16,157.55,Michele Mccann,"Welch, Krause and Cortez",7299,Russellbury,Web,139.133.100.83,39.03,0
74,2025-01-23 22:32:23,401.78,Ray Cabrera,Howard PLC,7299,Danielsshire,POS,21.132.87.140,31.1,0
75,2024-06-29 09:16:47,96.48,Michelle Patterson,Rogers-Avila,7299,West Melissa,Web,189.168.239.18,5.48,0
76,2025-04-30 11:05:15,717.81,Jasmine Norris,Turner Ltd,5968,Lorifurt,POS,186.45.16.174,2.48,0
77,2024-08-01 15:02:17,810.89,Douglas Little,Lewis Inc,5261,East Sallyshire,iOS,218.186.80.80,2.59,0
78,2025-01-07 17:12:47,669.67,Kendra Ellison,Greer-Smith,5942,Brookeborough,Web,161.39.194.116,18.59,0
79,2025-03-20 19:00:44,524.27,Rhonda Rodriguez,Bradley Group,5968,Port Aprilton,Web,7.11.59.70,14.36,0
80,2025-04-27 18:28:22,113.17,Angel Higgins,Williamson PLC,7299,Lake Daniel,iOS,87.206.207.97,28.82,0
81,2024-05-25 18:22:12,833.06,Annette Perez,Thomas-Knight,5261,Ryanborough,Android,203.86.82.51,14.43,0
82,2024-09-17 23:40:56,261.2,Kelsey Townsend,Higgins LLC,7299,Pearsonberg,POS,84.210.178.16,52.81,0
83,2024-12-19 03:29:10,24.7,Timothy Garza,Watson-Sloan,5812,East Pamela,Android,20.23.164.29,0.93,0
84,2025-01-04 04:59:11,678.97,Cheryl Carson,Spencer-Walker,5411,Lake Richard,Android,74.114.133.138,1.34,0
85,2025-03-22 05:20:02,818.7,Craig Robinson,"Coleman, Powers and Hawkins",5411,Warrenland,Android,153.13.240.30,36.93,0
86,2025-04-12 00:22:41,713.73,Joshua Johnson,"Collins, Dickerson and Morgan",5261,South Maryfort,Web,111.165.197.61,54.42,0
87,2024-12-27 21:02:42,705.5,Antonio Wilkins,Porter-Wiley,5261,Madelinemouth,POS,72.160.210.216,43.57,0
88,2024-09-18 02:58:41,535.79,Timothy Williams,Sanchez-Navarro,5411,West Nicole,Android,204.172.141.15,59.31,0
89,2024-10-30 21:47:44,547.44,Lisa Robinson,"Ewing, Cabrera and Kirk",5261,East Kimhaven,Web,89.68.40.254,30.63,0
90,2025-03-30 00:46:52,83.23,Richard Mcguire,Parker-Peters,5812,West Jamesburgh,Android,117.106.153.108,57.24,0
91,2024-05-22 14:58:57,303.6,James Davis,Cooper PLC,7299,Brianview,Web,108.220.181.55,24.86,0
92,2025-01-14 03:40:03,167.9,Steven Wilson,Thompson LLC,5261,Port Robert,Web,220.118.160.49,16.7,0
93,2025-03-30 12:02:14,576.02,Randy Gonzalez,"Mason, Reed and Ramos",7299,Georgehaven,iOS,144.74.88.104,55.84,0
94,2024-09-20 09:05:27,846.56,Nicholas Mcclure,"Sanchez, Galloway and Rodgers",7299,Snyderview,iOS,97.111.139.114,19.25,0
95,2024-11-30 02:48:27,991.57,Megan Haynes,Sloan-Castro,5812,Lake Markberg,Android,206.234.45.169,19.44,0
96,2025-03-12 06:33:17,654.6,Stephen Smith,"Robertson, Beard and Moses",5411,Hortonshire,iOS,40.130.157.213,19.7,0
97,2025-03-26 13:49:53,318.58,Greg Nixon,Jordan-Good,5968,Robertview,Web,216.178.174.120,38.29,0
98,2024-11-13 02:30:36,280.44,Maxwell Todd,Anderson and Sons,5942,Timothyland,POS,219.43.58.70,53.66,0
99,2024-06-25 18:18:59,531.69,Logan Bryant,Bryant-Morgan,5968,South Christina,Web,133.117.237.32,30.79,0
100,2024-06-04 00:35:42,673.08,Ruth Wang,Barry and Sons,5261,South Joshua,iOS,99.225.208.190,15.81,0
101,2024-11-14 14:23:04,578.98,James Johnson,Mccoy PLC,5261,Meyerville,iOS,201.184.209.25,23.79,0
102,2024-10-24 03:29:42,696.74,Katelyn Oneill,Medina-Nichols,5942,New Dan,Web,29.45.1.120,1.48,0
103,2024-11-13 18:10:37,159.75,Karen Rice,Gregory and Sons,7299,South Danielland,iOS,102.1.11.145,18.69,0
104,2024-09-11 01:15:54,503.18,Brittany Arias,Snow-Norton,7299,Sandraland,Web,73.207.42.6,13.47,0
105,2025-03-01 07:14:46,943.6,Matthew Woods,"Rush, Robles and Adams",5942,East Shaneport,POS,15.203.155.173,44.19,0
106,2025-01-20 13:13:18,866.13,Carrie Lopez,Ramirez PLC,5942,Thomasfurt,Android,140.34.82.151,19.35,0
107,2024-06-28 19:28:40,672.45,Ethan Bentley,Zavala-Compton,7299,South Jason,Android,114.90.88.167,21.03,0
108,2025-04-30 13:37:32,884.21,Jon Moody,Hoffman-Lopez,5411,Campbellstad,Android,211.25.127.242,56.38,0
109,2025-04-02 00:52:13,141.21,Joseph Dominguez,Young-Simpson,7299,Williambury,POS,64.106.159.118,9.21,0
110,2024-09-14 21:19:58,100.48,Christopher Jones,Doyle Group,5411,South Joshuaview,POS,221.160.140.47,13.87,0
111,2024-10-28 11:48:58,984.78,Eddie Ray,Dixon Group,5261,Josephland,POS,145.184.177.208,47.51,0
112,2024-05-30 19:01:07,162.02,Kelly Diaz,Miller and Sons,5261,South Jennifer,POS,212.118.199.75,59.1,0
113,2024-10-23 14:51:56,309.75,Marcus Lawrence,"Bartlett, Ray and Gonzalez",5942,Lake Joelport,Web,64.216.91.79,24.15,0
114,2025-04-26 13:02:33,712.78,Keith Yates,Knapp-Johnson,5968,South Michellefurt,Android,73.201.191.226,30.74,0
115,2024-07-07 16:48:36,733.42,Julie Sims,Caldwell-Wood,5942,Lake Rebecca,Android,32.158.107.127,20.79,0
116,2024-07-30 14:56:50,621.96,Misty Mccoy,"Hull, Ewing and Hendricks",5812,Boydside,Web,37.238.2.220,10.13,0
117,2024-11-05 11:13:41,118.31,Charles Doyle,Rosales-Singleton,5812,Munozton,iOS,168.156.80.147,7.83,0
118,2024-09-19 03:24:03,923.58,Richard Moore,Koch Inc,5942,North Arthurborough,iOS,1.182.151.196,46.47,0
119,2024-11-13 08:28:14,404.99,Aaron Francis,"Duran, Dawson and Mason",5812,New Daniel,iOS,105.220.202.167,24.25,0
120,2024-08-03 05:37:08,262.42,Karla Merritt,Cobb Inc,5968,Hillhaven,iOS,209.141.158.178,47.21,0
121,2024-05-24 00:55:06,649.88,Michael Brewer,Avila LLC,5812,Mariaton,POS,49.52.91.229,44.73,0
122,2024-11-01 13:03:21,113.49,Adrian Holden,Jackson Inc,5261,Kimberlyfort,iOS,98.59.121.154,43.64,0
123,2025-02-17 01:02:06,648.79,Samantha Rogers,Bradford-Mcguire,5812,Nicholastown,POS,124.35.47.78,4.54,0
124,2024-05-30 19:01:05,725.0,Joseph Davis,Robertson-Weiss,5812,North Colleen,Web,54.117.126.29,16.84,0
125,2024-09-20 20:35:21,213.42,Erik Barnett,"Garcia, Barry and Burch",5942,South Charlesport,Android,162.216.78.243,23.0,0
126,2025-04-25 00:24:55,721.44,Richard Snow,Chapman and Sons,5812,Jameschester,Web,102.130.57.66,17.73,0
127,2024-07-12 06:42:06,854.88,Rebecca Campbell,Zuniga and Sons,5261,West Jacobbury,Web,103.203.15.13,58.17,0
128,2024-06-29 14:35:56,547.77,Olivia Young,Moore Inc,5261,South Kimberly,iOS,197.56.202.159,16.72,0
129,2024-11-19 16:25:13,627.02,Krista Hicks,Boyd LLC,5411,West Christine,Web,156.156.12.235,15.83,0
130,2024-08-05 08:38:32,84.15,Alex Roach,"Munoz, Cooper and Wheeler",5968,Hernandezport,Android,147.252.93.217,57.94,0
131,2024-08-14 17:17:03,285.14,Cynthia Sweeney,Reed-Chandler,5261,Johnmouth,iOS,60.180.1.198,14.66,0
132,2024-06-19 23:33:18,504.14,Ryan Gross,Burke-Phillips,5968,Andersonhaven,POS,70.124.80.112,37.61,0
133,2024-08-26 02:11:12,425.6,Thomas Johnson,"Gomez, Ashley and Gray",5812,Jacksonchester,Android,151.92.137.184,14.98,0
134,2024-05-27 12:08:53,373.34,Alisha Meza,Anderson-Blackwell,7299,Port Stevenport,Android,205.21.74.48,1.97,0
135,2024-08-06 12:51:11,90.1,Latoya Tucker,Robinson-Bryant,5812,Lake Levifort,iOS,172.83.249.180,30.58,0
136,2024-07-31 22:41:13,255.01,Angela Conway,"Lucas, Hall and Stewart",5942,East Russell,Android,119.141.121.207,6.34,0
137,2025-04-20 00:46:17,718.6,Robert Williams,Foster PLC,5812,Herreraberg,POS,84.133.95.100,59.96,0
138,2024-09-07 17:30:03,41.77,Michael Dawson,Hale and Sons,5942,Lake Scottstad,POS,14.11.98.44,46.55,0
139,2024-08-08 05:50:46,943.32,Danielle Walker,Lee-Hunt,5812,Melaniemouth,POS,69.146.203.71,56.91,0
140,2024-11-05 15:34:07,958.68,John Morris,"Taylor, Martin and Sanders",7299,Lake Ralphbury,Web,14.132.137.213,37.64,0
141,2024-12-18 02:32:26,996.6,Alisha Martinez,Morales Ltd,5261,West Lancetown,Web,220.150.55.23,18.49,0
142,2024-06-28 08:20:12,132.46,James Melendez,Phillips Ltd,5942,Lancehaven,Web,117.248.215.218,12.32,0
143,2025-01-01 08:40:31,51.01,Duane Moore,Gardner LLC,5812,Morrisside,POS,128.239.124.96,16.85,0
144,2024-12-26 06:02:53,353.47,Mark Caldwell,Casey Ltd,5411,West Ethan,Android,95.165.200.41,14.15,0
145,2024-12-25 04:56:14,955.88,Kelsey Martin,Velez-Ochoa,5261,Bellfort,iOS,68.1.166.23,19.21,0
146,2025-02-08 00:37:37,79.43,Kaylee Jones,Brown and Sons,5812,Brownmouth,POS,209.214.194.5,44.55,0
147,2025-01-25 15:36:10,310.7,Cristian Stone,Williams-Richards,7299,Laurafort,Web,169.163.146.106,0.24,0
148,2024-11-09 09:10:53,778.49,Paul Cuevas,"Thompson, Clark and Schwartz",5812,Port Christopher,Android,143.195.82.212,54.88,0
149,2024-06-13 14:03:20,444.0,Yolanda Doyle,"Silva, Morgan and Scott",7299,Gloriatown,Web,95.218.199.98,47.18,0
150,2025-03-07 15:51:10,812.8,Aaron Austin,"Lee, King and Jones",5261,Katelynburgh,Web,19.234.108.131,9.75,0
151,2025-03-22 15:12:11,505.35,Olivia Fields,Spears-Smith,5942,Randallside,Web,40.235.131.137,33.62,0
152,2024-06-15 14:49:17,76.71,Michael Holden,Nielsen LLC,5968,Braunborough,Web,190.164.168.222,18.43,0
153,2024-11-10 16:42:19,160.51,Laurie Robertson,"Davis, Nelson and Smith",7299,Lake Jennifer,iOS,54.175.65.116,11.73,0
154,2025-02-11 14:18:08,563.17,Melissa Murphy,"Soto, Adkins and Jones",5942,Lake Seanchester,POS,93.139.214.94,14.23,0
155,2025-04-01 20:50:22,833.53,Arthur Edwards,"Lopez, Butler and Moore",7299,West Jessica,Android,102.232.129.102,38.53,0
156,2025-01-29 11:33:34,412.99,Colleen Garcia,Sanford-Christian,5411,Lake Sharon,iOS,125.39.158.9,31.41,0
157,2024-10-18 00:50:30,307.9,Caroline Garcia,Ortega PLC,7299,Racheltown,POS,36.172.250.21,28.23,0
158,2025-02-21 08:43:33,762.57,Teresa Cooper,Hale LLC,5411,Travisburgh,POS,52.185.255.252,49.87,0
159,2024-06-04 04:09:15,933.07,Joseph Jackson PhD,"Combs, Perkins and Sims",5411,West Ericburgh,Android,173.190.0.63,110.61,1
160,2024-09-02 16:46:00,115.22,Paul Fischer,Mahoney Group,7299,Chadmouth,Web,94.240.101.64,57.54,0
161,2024-08-26 06:16:11,231.83,Craig Evans,"Wood, Durham and Olson",5968,North Jennifershire,Android,92.122.103.163,25.01,0
162,2024-11-24 06:43:20,989.2,Kerri Bailey,Jones LLC,5968,South Roberttown,iOS,207.248.210.215,51.35,0
163,2024-09-14 08:39:18,379.55,Casey Roberts,Sharp-Sullivan,5968,Jillianmouth,POS,91.61.250.183,56.53,0
164,2024-05-18 09:00:50,285.65,Allen Smith,Fischer-Wallace,5411,South Karistad,Android,17.253.0.251,20.92,0
165,2025-04-02 03:22:06,637.33,Kenneth Watson,Robertson Ltd,5942,South Kaitlin,Android,129.131.184.144,27.61,0
166,2025-01-30 19:10:22,473.6,Kevin Wallace,Copeland Inc,7299,South Henry,iOS,208.61.196.45,19.78,0
167,2025-04-19 06:19:50,139.86,Donald Harding,Taylor Inc,5411,South Rodneyport,Android,164.127.26.218,43.03,0
168,2025-04-02 13:45:02,189.75,Kristen Gonzalez,Diaz Group,7299,Mcknightmouth,Web,90.133.93.41,32.84,0
169,2025-04-20 13:01:29,17.59,Melissa Cabrera,Sanchez Group,5942,Davidborough,Web,45.39.11.56,1.34,0
170,2024-06-17 16:18:33,476.26,Carrie Blevins,"Young, Johnson and Wilson",5812,New Matthewchester,iOS,70.255.29.189,31.15,0
171,2024-10-07 18:24:37,510.45,Melissa Gregory,Stewart-Barron,7299,Smithbury,Android,96.44.206.231,4.84,0
172,2025-04-06 14:51:33,99.58,Arthur Middleton,Morris-Sanchez,7299,Benjaminville,Android,68.75.44.146,31.11,0
173,2025-01-24 10:04:02,90.3,Joseph Burch,Walls Group,5411,South Jonathanmouth,iOS,142.85.21.243,14.7,0
174,2024-12-16 21:59:06,974.92,Kari Armstrong,"Fisher, Pennington and Johnson",7299,Lake Joseph,POS,145.169.124.211,9.3,0
175,2024-11-15 19:09:31,634.94,Melissa Miller,Clarke-Lynn,5261,Janethaven,POS,43.87.200.0,47.86,0
176,2024-05-08 02:16:28,363.4,Victoria Martin,"Kane, Wallace and Smith",5942,Smithstad,Android,44.249.0.163,49.94,0
177,2025-01-06 02:02:59,939.2,Anthony Welch,Ellis-Howard,5942,South Emilyberg,Web,220.177.112.20,47.82,0
178,2024-06-15 22:14:46,535.56,Veronica Bentley,"Martinez, Romero and Morrison",5812,West Connorland,iOS,19.93.70.128,36.28,0
179,2025-02-03 23:19:32,604.86,John Haley,Olsen-Hunter,5411,Lake Kathyfort,Web,161.131.108.80,16.88,0
180,2024-09-06 10:09:35,788.41,Jenny Myers,Hunt-Davis,5968,Douglasport,Android,125.80.133.220,25.42,0
181,2025-04-26 09:50:10,541.27,Jacob Orr,Curry-Sims,5261,South Scott,iOS,44.166.126.52,15.55,0
182,2024-05-21 16:57:19,286.58,Jonathan Kemp DVM,Johnson-Horne,5261,Port Emilyberg,iOS,141.71.107.50,33.66,0
183,2024-07-24 12:56:46,657.65,Mark Rios,Walker-Arroyo,5968,East Kathleenville,Android,93.30.8.147,50.32,0
184,2024-05-11 23:56:46,66.76,Philip Garcia,Rubio-Smith,7299,West Robertland,Android,17.14.222.44,54.49,0
185,2024-07-28 09:41:16,882.98,Holly Cortez,Rogers-Smith,7299,Robinborough,POS,83.253.112.212,49.53,0
186,2024-07-07 23:19:20,315.21,Taylor Bailey,"Clark, Torres and Hanson",5968,New Shawn,POS,222.135.202.141,55.93,0
187,2025-02-26 18:44:25,836.36,Jason Smith,"Clarke, Adams and Sims",5968,South Marcus,Android,220.149.132.110,36.3,0
188,2024-05-15 18:10:32,185.51,Evan Dunlap,Boyle-Wolfe,5411,Craigton,Web,6.37.71.152,57.68,0
189,2025-03-20 18:16:07,186.58,Donald Bell,Powell-Watson,5942,Shawnfort,POS,92.155.250.154,9.12,0
190,2025-02-01 23:12:37,723.73,Elizabeth Gallagher,Mcdaniel LLC,5411,Kristyside,POS,173.105.65.38,30.21,0
191,2024-10-18 12:06:32,314.82,Patricia Thomas,Young PLC,5968,Dayland,Web,189.68.238.117,22.09,0
192,2024-11-05 04:55:51,693.54,Katherine Morgan,Perez-Hendrix,5968,Lake Sharonmouth,Android,30.118.110.249,3.63,0
193,2024-08-16 10:53:01,512.12,Scott Marshall,Parker-Holmes,5261,West Gregtown,iOS,124.218.224.92,59.07,0
194,2024-05-29 23:21:31,681.88,Sonya Rice,"Paul, Young and Stephens",5411,Perezfort,iOS,52.196.168.126,44.45,0
195,2025-02-17 14:24:41,858.19,Ryan Brooks DDS,Johnson PLC,5411,Justinberg,Android,14.197.112.203,20.98,0
196,2024-09-30 07:14:22,445.6,Kristine Murphy,Mack Ltd,5261,New Laurenchester,iOS,158.217.52.130,45.85,0
197,2025-02-01 04:30:20,555.65,Danny Beasley,Burns LLC,5942,Lake Matthew,Android,213.45.146.246,36.48,0
198,2025-01-04 09:43:10,517.84,Joseph Kelley,Mays-Smith,5968,Rachaelburgh,Web,49.1.41.1,15.58,0
199,2024-10-25 05:19:25,165.62,Ryan Brown,"Sullivan, Perez and Houston",5942,West Brian,POS,93.110.48.65,21.07,0
200,2024-06-27 10:25:20,385.95,Jonathan Vincent,"Tate, Murphy and Miller",5942,New Maria,Android,69.210.100.182,1.93,0
201,2024-12-15 07:36:43,136.85,Michael Porter,"Ramirez, Roberts and Wood",7299,East Brandon,POS,129.77.41.190,38.23,0
202,2024-11-14 01:26:43,690.54,Brandon Gonzalez,"Ballard, Thomas and Moore",5942,Lake Andrea,POS,51.61.110.247,5.42,0
203,2024-11-25 11:18:27,720.88,Natalie Kaiser,Hill-Johnson,5411,Lake Kylieton,Android,47.243.74.158,5.9,0
204,2024-10-30 00:43:28,703.89,John Armstrong,"Bishop, Watts and Bennett",5968,East Marystad,POS,162.56.189.38,23.23,0
205,2024-05-29 22:30:41,787.87,Richard Gordon,"White, Foster and Thomas",5411,Nicoleland,Web,193.40.73.217,12.53,0
206,2025-04-07 01:03:24,408.33,Jesse Maldonado,"Mills, Keller and Olson",7299,New Stevenland,iOS,171.72.164.183,45.29,0
207,2024-09-19 22:27:03,93.72,Donna Rogers,Walters-Gibson,5261,Samanthafurt,Web,10.117.225.99,51.6,0
208,2024-06-27 07:26:04,649.34,Jesus Franklin,Holder-Jackson,5411,Bartonshire,POS,24.186.223.145,25.99,0
209,2024-05-13 14:02:16,971.54,Randy Williams,"Wilson, Mendoza and Johnson",7299,West Thomasport,iOS,171.231.66.192,40.36,0
210,2024-09-17 12:20:14,898.17,Mariah Walls,Rivera-Price,5968,New Jamieberg,iOS,108.169.102.57,58.16,0
211,2024-06-14 20:08:49,869.46,Crystal Myers,Ford-Bates,5411,Kellyside,iOS,177.225.149.223,8.66,0
212,2024-12-30 05:05:54,628.28,Daniel Hammond,Warren LLC,7299,New Soniahaven,Android,187.197.171.223,2.12,0
213,2025-04-03 00:50:57,945.72,David Barron,Walters and Sons,5968,Markview,Web,31.245.173.247,45.48,0
